street_clean,city_clean,State,Zip,price,bedrooms,baths_label,bed_bath,sqft_living,price_per_sqft,lot_acres,waterfront_flag,basement_flag,view_label,condition_label,home_age,yr_renovated,years_since_update,floors,date,bathrooms,sqft_total_check,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,street,city,statezip
4442 95Th Ave Ne,Bellevue,WA,98004,"$7,062,500",5,4 1/2,5 bd | 4.5 ba,"10,040",$703,1,Yes,Yes,Good,Average,85,2001,24,2,6/11/2014,4.50,"10,040","37,325",1,2,3,"7,680","2,360",1940,4442 95th Ave NE,Bellevue,WA 98004
5044 Butterworth Rd,Mercer Island,WA,98040,"$4,668,000",5,6 3/4,5 bd | 6.75 ba,"9,640",$484,0,Yes,Yes,Excellent,Average,42,2009,16,1,6/17/2014,6.75,"9,640","13,068",1,4,3,"4,820","4,820",1983,5044 Butterworth Rd,Mercer Island,WA 98040
1149-1199 91St Ave Ne,Bellevue,WA,98004,"$4,489,000",4,3  ,4 bd | 3. ba,"6,430",$698,1,No,No,None,Average,24,0,24,2,6/18/2014,3.00,"6,430","27,517",0,0,3,"6,430",0,2001,1149-1199 91st Ave NE,Bellevue,WA 98004
1365 91St Ave Ne,Clyde Hill,WA,98004,"$3,800,000",5,5 1/2,5 bd | 5.5 ba,"7,050",$539,1,No,Yes,Good,Good,47,2000,25,1,7/1/2014,5.50,"7,050","42,840",0,2,4,"4,320","2,730",1978,1365 91st Ave NE,Clyde Hill,WA 98004
3222 78Th Pl Ne,Medina,WA,98039,"$3,710,000",4,3 1/2,4 bd | 3.5 ba,"5,550",$668,1,No,Yes,Good,Good,25,0,25,2,5/30/2014,3.50,"5,550","28,078",0,2,4,"3,350","2,200",2000,3222 78th Pl NE,Medina,WA 98039
5243 Forest Ave Se,Mercer Island,WA,98040,"$3,100,000",6,4 1/4,6 bd | 4.25 ba,"6,980",$444,0,No,Yes,Excellent,Good,26,0,26,3,5/29/2014,4.25,"6,980","15,682",0,4,4,"5,330","1,650",1999,5243 Forest Ave SE,Mercer Island,WA 98040
11031 Champagne Point Rd Ne,Kirkland,WA,98034,"$3,000,000",4,4 1/4,4 bd | 4.25 ba,"4,850",$619,0,Yes,Yes,Excellent,Excellent,36,0,36,2,6/18/2014,4.25,"4,850","12,445",1,4,5,"3,850","1,000",1989,11031 Champagne Point Rd NE,Kirkland,WA 98034
1291 Nw Elford Dr,Seattle,WA,98177,"$2,888,000",5,6 1/4,5 bd | 6.25 ba,"8,670",$333,1,No,Yes,Excellent,Average,60,2003,22,2,6/11/2014,6.25,"8,670","64,033",0,4,3,"6,120","2,550",1965,1291 NW Elford Dr,Seattle,WA 98177
3239 78Th Pl Ne,Medina,WA,98039,"$2,750,000",4,3 1/4,4 bd | 3.25 ba,"4,430",$621,0,No,No,None,Average,73,2007,18,2,5/29/2014,3.25,"4,430","21,000",0,0,3,"4,430",0,1952,3239 78th Pl NE,Medina,WA 98039
17834 Se 40Th Pl,Bellevue,WA,98008,"$2,700,000",4,3 1/4,4 bd | 3.25 ba,"4,420",$611,0,Yes,Yes,Excellent,Average,24,0,24,2,6/8/2014,3.25,"4,420","7,850",1,4,3,"3,150","1,270",2001,17834 SE 40th Pl,Bellevue,WA 98008
1010 6Th St W,Kirkland,WA,98033,"$2,700,000",5,4 3/4,5 bd | 4.75 ba,"5,305",$509,0,No,Yes,Good,Average,20,0,20,2,5/21/2014,4.75,"5,305","8,401",0,2,3,"3,745","1,560",2005,1010 6th St W,Kirkland,WA 98033
1209 Evergreen Point Rd,Medina,WA,98039,"$2,680,000",5,3  ,5 bd | 3. ba,"4,290",$625,0,No,No,None,Good,40,0,40,2,7/9/2014,3.00,"4,290","20,445",0,0,4,"4,290",0,1985,1209 Evergreen Point Rd,Medina,WA 98039
2826 21St Ave W,Seattle,WA,98199,"$2,560,498",3,2 1/2,3 bd | 2.5 ba,"1,710","$1,497",0,No,Yes,None,Excellent,22,0,22,2,6/5/2014,2.50,"1,710","1,664",0,0,5,"1,300",410,2003,2826 21st Ave W,Seattle,WA 98199
4437 55Th Ave Ne,Seattle,WA,98105,"$2,555,000",4,2 1/2,4 bd | 2.5 ba,"5,300",$482,1,Yes,Yes,Good,Fair,102,0,102,2,5/13/2014,2.50,"5,300","26,211",1,2,2,"4,570",730,1923,4437 55th Ave NE,Seattle,WA 98105
5719 Seaview Ave Nw,Seattle,WA,98107,"$2,475,000",3,3 1/4,3 bd | 3.25 ba,"4,340",$570,0,No,Yes,Great,Average,32,0,32,2,6/17/2014,3.25,"4,340","4,947",0,3,3,"3,060","1,280",1993,5719 Seaview Ave NW,Seattle,WA 98107
1239 Parkside Dr E,Seattle,WA,98112,"$2,466,350",5,4 3/4,5 bd | 4.75 ba,"6,390",$386,0,No,Yes,None,Average,85,1996,29,2,6/24/2014,4.75,"6,390","13,180",0,0,3,"4,560","1,830",1940,1239 Parkside Dr E,Seattle,WA 98112
2205 78Th Ave Ne,Medina,WA,98039,"$2,458,000",4,5 1/4,4 bd | 5.25 ba,"6,500",$378,0,No,Yes,None,Average,24,0,24,2,7/8/2014,5.25,"6,500","14,986",0,0,3,"5,180","1,320",2001,2205 78th Ave NE,Medina,WA 98039
1404 Broadmoor Dr E,Seattle,WA,98112,"$2,453,500",4,3 1/2,4 bd | 3.5 ba,"4,730",$519,0,No,Yes,None,Excellent,90,0,90,1.5,5/29/2014,3.50,"4,730","13,586",0,0,5,"4,270",460,1935,1404 Broadmoor Dr E,Seattle,WA 98112
1223 7Th Ave W,Seattle,WA,98119,"$2,400,000",6,4 1/2,6 bd | 4.5 ba,"5,480",$438,0,No,Yes,Great,Good,26,0,26,2,6/20/2014,4.50,"5,480","10,800",0,3,4,"4,430","1,050",1999,1223 7th Ave W,Seattle,WA 98119
309 W Prospect St,Seattle,WA,98119,"$2,400,000",5,3 1/4,5 bd | 3.25 ba,"3,410",$704,0,No,Yes,Great,Average,113,1994,31,2,6/4/2014,3.25,"3,410","9,088",0,3,3,"2,760",650,1912,309 W Prospect St,Seattle,WA 98119
9415 Ne 27Th St,Clyde Hill,WA,98004,"$2,400,000",4,3 1/4,4 bd | 3.25 ba,"4,140",$580,0,No,Yes,Fair,Average,48,2005,20,1,5/30/2014,3.25,"4,140","20,734",0,1,3,"3,300",840,1977,9415 NE 27th St,Clyde Hill,WA 98004
7436 E Mercer Way,Mercer Island,WA,98040,"$2,367,000",3,2 1/4,3 bd | 2.25 ba,"3,530",$671,0,Yes,Yes,Great,Average,95,1993,32,1,7/1/2014,2.25,"3,530","17,450",1,3,3,"1,840","1,690",1930,7436 E Mercer Way,Mercer Island,WA 98040
6410 E Mercer Way,Mercer Island,WA,98040,"$2,351,956",4,4 1/4,4 bd | 4.25 ba,"5,010",$469,0,No,Yes,Fair,Average,11,0,11,2,7/3/2014,4.25,"5,010","19,412",0,1,3,"4,000","1,010",2014,6410 E Mercer Way,Mercer Island,WA 98040
9403 Se 33Rd St,Mercer Island,WA,98040,"$2,321,000",5,4 3/4,5 bd | 4.75 ba,"5,780",$402,0,No,Yes,None,Average,19,0,19,2,7/9/2014,4.75,"5,780","17,004",0,0,3,"4,260","1,520",2006,9403 SE 33rd St,Mercer Island,WA 98040
1323 Willard Ave W,Seattle,WA,98119,"$2,300,000",4,4 3/4,4 bd | 4.75 ba,"3,970",$579,0,No,Yes,Good,Good,97,0,97,2,7/1/2014,4.75,"3,970","9,778",0,2,4,"3,390",580,1928,1323 Willard Ave W,Seattle,WA 98119
511 98Th Ave Ne,Bellevue,WA,98004,"$2,300,000",4,3 1/4,4 bd | 3.25 ba,"4,250",$541,0,No,No,None,Average,21,2003,22,2,6/25/2014,3.25,"4,250","8,570",0,0,3,"4,250",0,2004,511 98th Ave NE,Bellevue,WA 98004
