Address,City,State,Zip,Price,Bedrooms,Bathrooms,Living Area (SqFt),Price per SqFt,Lot Size (Acres),Waterfront,Basement,View,Condition,Home Age,Year Renovated,Years Since Update,Floors,,
4442 95Th Ave Ne,Bellevue,WA,98004,"$7,062,500 ",5.00,4 1/2,"10,040",$703 ,1,Yes,Yes,Good,Average,85,2001,24,2,,
5044 Butterworth Rd,Mercer Island,WA,98040,"$4,668,000 ",5.00,6 3/4,"9,640",$484 ,0,Yes,Yes,Excellent,Average,42,2009,16,1,,
1149-1199 91St Ave Ne,Bellevue,WA,98004,"$4,489,000 ",4.00,3,"6,430",$698 ,1,No,No,None,Average,24,0,24,2,,
1365 91St Ave Ne,Clyde Hill,WA,98004,"$3,800,000 ",5.00,5 1/2,"7,050",$539 ,1,No,Yes,Good,Good,47,2000,25,1,,
3222 78Th Pl Ne,Medina,WA,98039,"$3,710,000 ",4.00,3 1/2,"5,550",$668 ,1,No,Yes,Good,Good,25,0,25,2,,
5243 Forest Ave Se,Mercer Island,WA,98040,"$3,100,000 ",6.00,4 1/4,"6,980",$444 ,0,No,Yes,Excellent,Good,26,0,26,3,,
11031 Champagne Point Rd Ne,Kirkland,WA,98034,"$3,000,000 ",4.00,4 1/4,"4,850",$619 ,0,Yes,Yes,Excellent,Excellent,36,0,36,2,,
1291 Nw Elford Dr,Seattle,WA,98177,"$2,888,000 ",5.00,6 1/4,"8,670",$333 ,1,No,Yes,Excellent,Average,60,2003,22,2,,
3239 78Th Pl Ne,Medina,WA,98039,"$2,750,000 ",4.00,3 1/4,"4,430",$621 ,0,No,No,None,Average,73,2007,18,2,,
17834 Se 40Th Pl,Bellevue,WA,98008,"$2,700,000 ",4.00,3 1/4,"4,420",$611 ,0,Yes,Yes,Excellent,Average,24,0,24,2,,
1010 6Th St W,Kirkland,WA,98033,"$2,700,000 ",5.00,4 3/4,"5,305",$509 ,0,No,Yes,Good,Average,20,0,20,2,,
1209 Evergreen Point Rd,Medina,WA,98039,"$2,680,000 ",5.00,3,"4,290",$625 ,0,No,No,None,Good,40,0,40,2,,
2826 21St Ave W,Seattle,WA,98199,"$2,560,498 ",3.00,2 1/2,"1,710","$1,497 ",0,No,Yes,None,Excellent,22,0,22,2,,
4437 55Th Ave Ne,Seattle,WA,98105,"$2,555,000 ",4.00,2 1/2,"5,300",$482 ,1,Yes,Yes,Good,Fair,102,0,102,2,,
5719 Seaview Ave Nw,Seattle,WA,98107,"$2,475,000 ",3.00,3 1/4,"4,340",$570 ,0,No,Yes,Great,Average,32,0,32,2,,
1239 Parkside Dr E,Seattle,WA,98112,"$2,466,350 ",5.00,4 3/4,"6,390",$386 ,0,No,Yes,None,Average,85,1996,29,2,,
2205 78Th Ave Ne,Medina,WA,98039,"$2,458,000 ",4.00,5 1/4,"6,500",$378 ,0,No,Yes,None,Average,24,0,24,2,,
1404 Broadmoor Dr E,Seattle,WA,98112,"$2,453,500 ",4.00,3 1/2,"4,730",$519 ,0,No,Yes,None,Excellent,90,0,90,1.5,,
1223 7Th Ave W,Seattle,WA,98119,"$2,400,000 ",6.00,4 1/2,"5,480",$438 ,0,No,Yes,Great,Good,26,0,26,2,,
309 W Prospect St,Seattle,WA,98119,"$2,400,000 ",5.00,3 1/4,"3,410",$704 ,0,No,Yes,Great,Average,113,1994,31,2,,
9415 Ne 27Th St,Clyde Hill,WA,98004,"$2,400,000 ",4.00,3 1/4,"4,140",$580 ,0,No,Yes,Fair,Average,48,2005,20,1,,
7436 E Mercer Way,Mercer Island,WA,98040,"$2,367,000 ",3.00,2 1/4,"3,530",$671 ,0,Yes,Yes,Great,Average,95,1993,32,1,,
6410 E Mercer Way,Mercer Island,WA,98040,"$2,351,956 ",4.00,4 1/4,"5,010",$469 ,0,No,Yes,Fair,Average,11,0,11,2,,
9403 Se 33Rd St,Mercer Island,WA,98040,"$2,321,000 ",5.00,4 3/4,"5,780",$402 ,0,No,Yes,None,Average,19,0,19,2,,
1323 Willard Ave W,Seattle,WA,98119,"$2,300,000 ",4.00,4 3/4,"3,970",$579 ,0,No,Yes,Good,Good,97,0,97,2,,
511 98Th Ave Ne,Bellevue,WA,98004,"$2,300,000 ",4.00,3 1/4,"4,250",$541 ,0,No,No,None,Average,21,2003,22,2,,
7623 Overlake Dr W,Medina,WA,98039,"$2,271,150 ",4.00,3 1/4,"4,040",$562 ,0,No,No,None,Good,71,1979,46,1,,
173 37Th Ave E,Seattle,WA,98112,"$2,250,000 ",5.00,4 1/4,"4,860",$463 ,0,No,Yes,Fair,Excellent,120,0,120,1.5,,
7070 270Th Pl Se,Issaquah,WA,98029,"$2,238,888 ",5.00,6 1/2,"7,270",$308 ,3,No,Yes,None,Average,15,0,15,2,,
5170 Nw Sammamish Rd,Issaquah,WA,98027,"$2,200,000 ",5.00,4 3/4,"5,990",$367 ,0,Yes,Yes,Excellent,Average,23,0,23,2,,
19009-19021 Se 266Th St,Covington,WA,98042,"$2,199,900 ",4.00,1 1/2,"1,120","$1,964 ",0,No,No,None,Average,56,2014,11,1,,
4530 51St Ave Ne,Seattle,WA,98105,"$2,180,000 ",6.00,2 3/4,"4,710",$463 ,0,No,Yes,Great,Average,94,0,94,2,,
1500-1598 98Th Ave Ne,Bellevue,WA,98004,"$2,150,000",4.00,6,"5,060",$425 ,0,No,No,None,Average,17,0,17,2,,
2826 10Th Ave E,Seattle,WA,98102,"$2,147,500",3.00,4,"4,660",$461 ,0,No,Yes,Excellent,Excellent,116,1988,37,2,,
12 Columbia Key,Bellevue,WA,98006,"$2,110,000",3.00,2,"3,230",$653 ,0,No,No,None,Good,52,0,52,2,,
14070 Military Rd S,Tukwila,WA,98168,"$2,110,000",4.00,1,"2,100","$1,005 ",0,No,Yes,None,Average,66,1989,36,1,,
7822 Ne 14Th St,Medina,WA,98039,"$2,100,000",4.00,2,"3,550",$592 ,0,No,No,None,Average,63,2002,23,2,,
1646 100Th Pl Se,Bellevue,WA,98004,"$2,075,000",4.00,4,"4,230",$491 ,0,No,No,None,Average,28,0,28,2,,
2000-2098 102Nd Ave Ne,Bellevue,WA,98004,"$2,065,000",4.00,4,"4,350",$475 ,0,No,No,None,Average,12,1923,102,2,,
4520 E Mercer Way,Mercer Island,WA,98040,"$2,027,000",4.00,4,"4,100",$494 ,1,No,Yes,Great,Excellent,91,1979,46,1.5,,
18309 17Th Pl Nw,Shoreline,WA,98177,"$2,005,000",6.00,5,"3,810",$526 ,1,No,No,Excellent,Excellent,56,0,56,1,,
4277 E Lake Sammamish Shore Ln Se,Sammamish,WA,98075,"$2,000,000",5.00,4,"4,580",$437 ,0,Yes,No,Excellent,Average,21,2003,22,3,,
4080 E Mercer Way,Mercer Island,WA,98040,"$2,000,000",5.00,4,"6,490",$308 ,0,No,Yes,Great,Good,34,0,34,2,,
923 14Th Ave E,Seattle,WA,98112,"$1,990,000",5.00,3,"4,480",$444 ,0,No,Yes,None,Excellent,123,0,123,2.5,,
1210 22Nd Ave E,Seattle,WA,98112,"$1,970,000",8.00,4,"4,440",$444 ,0,No,Yes,Great,Excellent,66,0,66,2,,
2523-2533 103Rd Ave Se,Bellevue,WA,98004,"$1,965,221",4.00,4,"4,370",$450 ,0,No,Yes,Fair,Average,22,0,22,2,,
8105 Se 44Th St,Mercer Island,WA,98040,"$1,950,000",7.00,4,"4,640",$420 ,0,No,Yes,Fair,Average,60,2003,22,2,,
2653 Cascadia Ave S,Seattle,WA,98144,"$1,925,000",5.00,4,"4,830",$399 ,0,No,Yes,Good,Good,111,1945,80,2.5,,
3257 Evergreen Point Rd,Medina,WA,98039,"$1,920,000",4.00,3,"3,070",$625 ,1,No,Yes,Great,Good,75,1983,42,1,,
4612 92Nd Ave Ne,Yarrow Point,WA,98004,"$1,901,000",3.00,3,"2,660",$715 ,0,No,No,Good,Average,33,0,33,2,,
13117 Ne 33Rd St,Bellevue,WA,98005,"$1,900,000",4.00,3,"4,130",$460 ,3,No,No,None,Average,47,0,47,2,,
9045 Ne 40Th Pl,Yarrow Point,WA,98004,"$1,895,000",5.00,2,"3,120",$607 ,0,No,No,None,Good,56,0,56,2,,
2526 104Th Ave Se,Bellevue,WA,98004,"$1,886,700",5.00,4,"4,180",$451 ,0,No,No,None,Average,21,2003,22,2,,
